ENS	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000100906	1677.948213	0.639558941	0.146967411	4.351705838	1.35E-05	0.001017566
ENSG00000116044	576.1229474	0.784555221	0.180301656	4.351347846	1.35E-05	0.001017566
ENSG00000058085	2812.850526	-0.821211504	0.189959067	-4.323097172	1.54E-05	0.001147968
ENSG00000110492	499.3026519	0.823674763	0.190642282	4.320525089	1.56E-05	0.001152358
ENSG00000130816	3763.778631	-0.705205484	0.163407896	-4.315614494	1.59E-05	0.001160087
ENSG00000137819	56.62166442	-1.244587328	0.288504049	-4.313933661	1.60E-05	0.001160087
ENSG00000157227	263.1661938	0.958714689	0.222188728	4.314866454	1.60E-05	0.001160087
ENSG00000109971	9612.368376	-0.619607185	0.144070137	-4.300732948	1.70E-05	0.001216823
ENSG00000118523	546.485074	0.984756289	0.229012304	4.300014775	1.71E-05	0.001216823
ENSG00000157514	235.4133114	0.960466251	0.223633683	4.294819266	1.75E-05	0.001236376
ENSG00000113430	719.7655366	-0.896604077	0.209280126	-4.284229448	1.83E-05	0.001287147
ENSG00000164442	144.9487154	1.12434059	0.262684626	4.280191828	1.87E-05	0.001301085
ENSG00000084774	347.5015201	-0.870623721	0.203568791	-4.276803508	1.90E-05	0.001301893
ENSG00000088367	336.4795041	0.896090295	0.209459807	4.278101414	1.88E-05	0.001301893
ENSG00000164211	72.81018924	1.236523914	0.28970363	4.268237552	1.97E-05	0.001343161
ENSG00000178988	843.2967196	0.817863678	0.191788112	4.264412788	2.00E-05	0.001356615
ENSG00000188910	679.0297261	-0.839092267	0.197129189	-4.25656023	2.08E-05	0.001395164
ENSG00000228462	166.0632783	1.105557981	0.2603372	4.246638514	2.17E-05	0.001448104
ENSG00000168243	176.586668	-1.055477564	0.249368946	-4.232594231	2.31E-05	0.001530812
ENSG00000166123	1091.281087	0.670520897	0.158893877	4.219929109	2.44E-05	0.001608151
ENSG00000221869	1021.844185	0.72707003	0.172439842	4.216369137	2.48E-05	0.001622469
ENSG00000166347	689.811887	0.762109672	0.181139148	4.2073162	2.58E-05	0.001677261
ENSG00000119632	888.4391254	0.703755771	0.167523195	4.200945264	2.66E-05	0.001713434
ENSG00000100345	3648.600874	-0.681604644	0.162423277	-4.196471461	2.71E-05	0.001714305
ENSG00000185950	445.2411773	-0.798122689	0.190198825	-4.196254568	2.71E-05	0.001714305
ENSG00000198755	14056.35843	-0.552785629	0.131706737	-4.197094569	2.70E-05	0.001714305
ENSG00000184009	94084.01534	-0.564658945	0.134623732	-4.19434923	2.74E-05	0.001717328
ENSG00000184292	9606.009102	0.641198181	0.152981382	4.191347813	2.77E-05	0.00172876
ENSG00000100650	1229.751709	0.672039993	0.160686546	4.182304055	2.89E-05	0.001787246
ENSG00000189067	2752.872897	0.60185654	0.144354536	4.16929426	3.06E-05	0.001880089
ENSG00000119403	995.6036511	-0.708054403	0.17027452	-4.158310953	3.21E-05	0.001960061
ENSG00000168389	97.08484002	-1.106934194	0.267805326	-4.133353919	3.58E-05	0.002171629
ENSG00000272620	856.9611143	-0.713319466	0.172819554	-4.127539098	3.67E-05	0.002213075
ENSG00000143384	4043.511685	-0.570005373	0.138511681	-4.115215192	3.87E-05	0.002319931
ENSG00000110321	14958.50695	-0.594031876	0.14450907	-4.110689214	3.94E-05	0.002343082
ENSG00000210184	57.44526406	1.182470526	0.287704284	4.110020567	3.96E-05	0.002343082
ENSG00000162892	250.9859415	-1.05070098	0.256113904	-4.102475357	4.09E-05	0.002405806
ENSG00000171848	1318.09669	-0.71743221	0.175049813	-4.09844603	4.16E-05	0.002432952
ENSG00000198840	74819.98391	0.711042505	0.17390859	4.088599097	4.34E-05	0.002522977
ENSG00000106397	669.1568789	-0.720515175	0.176636684	-4.079080062	4.52E-05	0.002612502
ENSG00000147889	1164.083175	0.709511311	0.174045992	4.076573691	4.57E-05	0.002624805
ENSG00000148700	133.523115	1.032839145	0.254016548	4.066030943	4.78E-05	0.002729807
ENSG00000196497	1648.901079	-0.777115071	0.191480596	-4.058453378	4.94E-05	0.002803012
ENSG00000221963	374.5816942	0.790965429	0.195108448	4.053978384	5.04E-05	0.002840198
ENSG00000106366	252.2400066	-0.874999303	0.216036448	-4.050239266	5.12E-05	0.002852013
ENSG00000249992	108.8536213	-1.094828705	0.270298198	-4.050447671	5.11E-05	0.002852013
ENSG00000114209	1143.005048	0.633194078	0.156389908	4.048816752	5.15E-05	0.002852621
ENSG00000065911	2981.775762	0.579882943	0.143309373	4.04637137	5.20E-05	0.002865812
ENSG00000100897	1385.157534	-0.632492445	0.156560296	-4.039928776	5.35E-05	0.002911824
ENSG00000267855	251.3217931	0.878599532	0.217462935	4.040226588	5.34E-05	0.002911824
ENSG00000168040	3925.05983	-0.551245737	0.136539702	-4.037256048	5.41E-05	0.002928357
ENSG00000066322	217.954674	0.926801124	0.230316225	4.024037497	5.72E-05	0.003080174
ENSG00000146674	267.0472461	0.85874069	0.213622037	4.019906855	5.82E-05	0.003087943
ENSG00000160293	795.0362663	-0.689716296	0.171594101	-4.019463915	5.83E-05	0.003087943
ENSG00000185745	288.7610764	0.919698079	0.228713909	4.02117249	5.79E-05	0.003087943
ENSG00000205544	790.1167172	0.775957603	0.193143307	4.017522613	5.88E-05	0.003096188
ENSG00000108448	384.5122809	0.814535517	0.203094982	4.010613699	6.06E-05	0.003153172
ENSG00000174744	1431.369842	-0.603605294	0.150500984	-4.010640191	6.06E-05	0.003153172
ENSG00000129422	88.52869226	1.090028979	0.271974026	4.007842195	6.13E-05	0.00317296
ENSG00000274173	97.99313463	1.09055288	0.272516374	4.001788453	6.29E-05	0.003237573
ENSG00000135476	240.4738765	-0.87325239	0.218751081	-3.991991203	6.55E-05	0.003356082
ENSG00000137337	399.0388894	-0.802321838	0.201591556	-3.979937719	6.89E-05	0.003474533
ENSG00000172137	481.9544663	0.763401305	0.19180673	3.980054838	6.89E-05	0.003474533
ENSG00000183684	1514.714716	0.652349402	0.163872734	3.980829419	6.87E-05	0.003474533
ENSG00000066455	235.274118	0.919022607	0.231152682	3.975824985	7.01E-05	0.003516433
ENSG00000167986	3071.773472	-0.648755689	0.163281726	-3.973228996	7.09E-05	0.003536285
ENSG00000090615	919.4275077	-0.679116588	0.171024764	-3.970866972	7.16E-05	0.003552833
ENSG00000158710	3908.482084	0.677703225	0.171029339	3.962496887	7.42E-05	0.003660597
ENSG00000115902	89.21671827	1.080735688	0.273000735	3.958728125	7.53E-05	0.003699565
ENSG00000205155	547.5870782	0.724239796	0.183259281	3.95199518	7.75E-05	0.003785628
ENSG00000155158	159.5634539	0.980946503	0.248404366	3.948990582	7.85E-05	0.003813795
ENSG00000114554	563.1664896	-0.70387486	0.179398714	-3.923522322	8.73E-05	0.004218932
ENSG00000148773	1031.978799	-0.660075899	0.168507076	-3.917199879	8.96E-05	0.004244465
ENSG00000163565	443.9533061	0.87947414	0.224484922	3.917742584	8.94E-05	0.004244465
ENSG00000167302	410.7117948	-0.815665759	0.208169731	-3.918272619	8.92E-05	0.004244465
ENSG00000168906	1047.366303	-0.7008132	0.178870015	-3.918002695	8.93E-05	0.004244465
ENSG00000196878	920.8147698	-0.647210483	0.165603795	-3.908186308	9.30E-05	0.004384021
ENSG00000147853	1536.463478	0.594945241	0.152381143	3.90432327	9.45E-05	0.004432582
